ID;Texte
ID1;Coiffe à plumes de quetzal
ID2;Cette coiffe à plumes de quetzal représente le pouvoir de commandement des nobles mesoamericains.
ID3;Sceptre 2 têtes de serpent
ID4;Marqueur régional, ce sceptre n'est porté que par des dirigeants de cités Mayas, les différanciant des autres pouvoirs mésoaméricains.
ID5;Jupe striée
ID6;Seules les femmes portent ce vêtement orné de motifs à "croisillon". Ce maillage représente soit une peau de reptile, soit les quatre points cardinaux.
ID7;pagne
ID8;Sans ornements, ce vêtement n'est pas très féminin.
ID9;Hache
ID10;Hache en pierre polie. Ne sert pas à trancher mais à enfoncer les cranes.
ID11;Serre-tête
ID12;Serre-tête composé de perles vertes représentant l'énergie vitale, et d'un masque commun aux parures des dirigeants Mayas.
ID13;Captif
ID14;Toujours représenté dénudé, il s'agit le plus souvent d'un guerrier capturé. Ils sont facilement reconnaissables grâce à la corde souvent attachée autour des mains ou du cou.
ID15;récipient bandelettes de sang
ID16;Les nobles aussi donnaient leur sang afin de satisfaire leur dieux. Les femmes se mutilaient la langue pour récolter le sang sur des bandelettes, Brulées avec un hallucinogène, leur fumée fait apparaitre l'être mythologique.
ID17;ceinture jaguar + coquillage
ID18;Une mâchoire supérieure de jaguar, symbole de la "grotte originelle". Un coquillage strié représentant la vie qui commence dans la mer. Ensemble, ils montrent que la femme est féconde.
ID19;Coiffe d'autosacrifice
ID20;Une petite coiffe permettant d'attacher les cheveux en hauteur. En sortent des bandelettes de papier rappelant celles servant à récupérer le sang des autosacrifices.
ID21;Coiffe à plumes de colibri
ID22;Cette coiffe est bien belle. De quoi énerver les Aztèques à coup sûr.
ID23;Mission <b>1</b><br>Créer une stèle représentant la puissance politique de la reine rouge
ID24;Mission <b>2</b><br>Créer une stèle représentant la puissance militaire de la reine rouge
ID25;Mission <b>3</b><br>Créer une stèle représentant la puissance religieuse de la reine rouge